club_id,club_name,season,financial_year_end,currency_original,gbp_to_eur_rate,eur_to_usd_rate,gbp_to_usd_rate,inflation_adjustment_to_2025_26,real_price_basis_label,economic_factors_complete,fx_source,inflation_source,economic_factor_notes,turnover_original,turnover_gbp,turnover_eur,turnover_usd,turnover_gbp_real_2025_26,turnover_eur_real_2025_26,turnover_usd_real_2025_26,gate_and_matchday_income_original,gate_and_matchday_income_gbp,gate_and_matchday_income_eur,gate_and_matchday_income_usd,gate_and_matchday_income_gbp_real_2025_26,gate_and_matchday_income_eur_real_2025_26,gate_and_matchday_income_usd_real_2025_26,tv_and_broadcasting_original,tv_and_broadcasting_gbp,tv_and_broadcasting_eur,tv_and_broadcasting_usd,tv_and_broadcasting_gbp_real_2025_26,tv_and_broadcasting_eur_real_2025_26,tv_and_broadcasting_usd_real_2025_26,commercial_income_original,commercial_income_gbp,commercial_income_eur,commercial_income_usd,commercial_income_gbp_real_2025_26,commercial_income_eur_real_2025_26,commercial_income_usd_real_2025_26,sporting_revenue_original,sporting_revenue_gbp,sporting_revenue_eur,sporting_revenue_usd,sporting_revenue_gbp_real_2025_26,sporting_revenue_eur_real_2025_26,sporting_revenue_usd_real_2025_26,wage_bill_original,wage_bill_gbp,wage_bill_eur,wage_bill_usd,wage_bill_gbp_real_2025_26,wage_bill_eur_real_2025_26,wage_bill_usd_real_2025_26,wages_as_proportion_of_turnover,net_debt_original,net_debt_gbp,net_debt_eur,net_debt_usd,net_debt_gbp_real_2025_26,net_debt_eur_real_2025_26,net_debt_usd_real_2025_26,profit_loss_before_tax_original,profit_loss_before_tax_gbp,total_revenue_eur,total_revenue_gbp,total_revenue_usd,total_revenue_gbp_real_2025_26,total_revenue_eur_real_2025_26,total_revenue_usd_real_2025_26,matchday_revenue_eur,matchday_revenue_gbp,matchday_revenue_usd,matchday_revenue_gbp_real_2025_26,matchday_revenue_eur_real_2025_26,matchday_revenue_usd_real_2025_26,broadcast_revenue_eur,broadcast_revenue_gbp,broadcast_revenue_usd,broadcast_revenue_gbp_real_2025_26,broadcast_revenue_eur_real_2025_26,broadcast_revenue_usd_real_2025_26,commercial_revenue_eur,commercial_revenue_gbp,commercial_revenue_usd,commercial_revenue_gbp_real_2025_26,commercial_revenue_eur_real_2025_26,commercial_revenue_usd_real_2025_26,other_revenue_eur,staff_costs_eur,staff_costs_usd,staff_costs_gbp_real_2025_26,staff_costs_eur_real_2025_26,staff_costs_usd_real_2025_26,profit_loss_before_tax_eur,profit_loss_before_tax_usd,profit_loss_before_tax_gbp_real_2025_26,profit_loss_before_tax_eur_real_2025_26,profit_loss_before_tax_usd_real_2025_26,matchday_share,broadcast_share,commercial_share,confidence_level,requires_manual_review,source_url,source_document,notes
arsenal,Arsenal,2008/09,2009-05-31,GBP,1.19105,1.435414,1.70965,1.638179,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2008 and 2009.,221463000,221463000.0,263773506.14999998,378624217.95,362796035.87700003,432108218.53130084,620254242.737113,100086000,100086000.0,119207430.3,171112029.89999998,163958783.394,195283108.9614237,280312134.02955204,73239000,73239000.0,87231310.95,125213056.35,119978591.781,142900501.74076006,205121399.43838665,48138000,48138000.0,57334764.9,82299131.69999999,78858660.702,93924607.8291171,134820709.26917428,173325000.0,173325000.0,206438741.25,296325086.25,283937375.175,338183610.7021838,485433533.4679388,103978000,103978000.0,123842996.89999999,177765987.7,170334576.062,202876996.8186451,291212507.96439826,0.46950506405133136,1999000.0,1999000.0,2380908.9499999997,3417590.3499999996,3274719.821,3900355.04280205,5598624.7419726495,28000.0,28000.0,263773506.14999998,221463000.0,378624217.95,362796035.87700003,432108218.53130084,620254242.737113,119207430.3,100086000.0,171112029.89999998,163958783.394,195283108.9614237,280312134.02955204,87231310.95,73239000.0,125213056.35,119978591.781,142900501.74076006,205121399.43838665,57334764.9,48138000.0,82299131.69999999,78858660.702,93924607.8291171,134820709.26917428,,123842996.89999999,177765987.7,170334576.062,202876996.8186451,291212507.96439826,33349.4,47870.2,45869.012,54632.2867426,78419.9563658,0.4519310223378172,0.3307053548448273,0.2173636228173555,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAwNDAyMzEzNWFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2009,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2009/10,2010-05-31,GBP,1.14485,1.359348,1.55625,1.594432,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2009 and 2010.,222486000,222486000.0,254713097.1,346243837.5,354738797.952,406122712.83534724,552062254.3128,93929000,93929000.0,107534615.64999999,146177006.25,149763403.328,171456632.30006078,233069296.42920002,84584000,84584000.0,96835992.39999999,131633849.99999999,134863436.28800002,154398405.03431678,209881222.7232,43973000,43973000.0,50342489.05,68432981.25,70111958.33600001,80267675.5009696,109111735.1604,178513000.0,178513000.0,204370608.04999998,277810856.25,284626839.616,325855037.3343776,442950519.1524,110733000,110733000.0,126772675.05,172328231.25,176556238.65600002,202130409.8253216,274765646.4084,0.49770772093524984,2000000.0,2000000.0,2289700.0,3112500.0,3188864.0,3650770.9504,4962669.600000001,28000.0,28000.0,254713097.1,222486000.0,346243837.5,354738797.952,406122712.83534724,552062254.3128,107534615.64999999,93929000.0,146177006.25,149763403.328,171456632.30006078,233069296.42920002,96835992.39999999,84584000.0,131633849.99999999,134863436.28800002,154398405.03431678,209881222.7232,50342489.05,43973000.0,68432981.25,70111958.33600001,80267675.5009696,109111735.1604,,126772675.05,172328231.25,176556238.65600002,202130409.8253216,274765646.4084,32055.8,43575.0,44644.096000000005,51110.793305600004,69477.3744,0.4221793730841491,0.3801767302212274,0.19764389669462348,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzAyNzE0NjA3NmFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2010,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2010/11,2011-05-31,GBP,1.15955,1.357854,1.5745,1.53512,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2010 and 2011.,224675000,224675000.0,260521896.25000003,353750787.5,344903086.0,399932373.37130004,543049908.9070001,93108000,93108000.0,107963381.4,146598546.0,142931952.96,165736746.05476803,225046359.93552,85244000,85244000.0,98844680.2,134216678.0,130859769.28,151738445.468624,206038706.73136002,46323000,46323000.0,53713834.650000006,72935563.5,71111363.76,82457181.847908,111964842.24012001,178352000.0,178352000.0,206808061.60000002,280815224.0,273791722.24,317475191.523392,431085066.66688,124401000,124401000.0,144249179.55,195869374.5,190970463.12,221439800.510796,300682994.18244,0.5536931122732837,-133468000.0,-133468000.0,-154762819.4,-210145366.0,-204889396.16,-237579499.317328,-322598354.25392,14776000.0,14776000.0,260521896.25000003,224675000.0,353750787.5,344903086.0,399932373.37130004,543049908.9070001,107963381.4,93108000.0,146598546.0,142931952.96,165736746.05476803,225046359.93552,98844680.2,85244000.0,134216678.0,130859769.28,151738445.468624,206038706.73136002,53713834.650000006,46323000.0,72935563.5,71111363.76,82457181.847908,111964842.24012001,,144249179.55,195869374.5,190970463.12,221439800.510796,300682994.18244,17133510.8,23264812.0,22682933.12,26301995.099296004,35714278.19744,0.41441192834093693,0.37941025926338046,0.20617781239568264,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA0ODAzNDA0NmFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2011,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax taken from the segmental analysis page as group profit on ordinary activities before taxation."
arsenal,Arsenal,2011/12,2012-05-31,GBP,1.1932,1.335945,1.59405,1.480844,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2011 and 2012.,232428000,232428000.0,277333089.6,370501853.4,344189609.232,410687041.73562247,548655446.5962696,95212000,95212000.0,113606958.4,151772688.6,140994118.928,168234182.70488963,224751675.2771784,84701000,84701000.0,101065233.2,135017629.05,125428967.64400001,149661844.19282082,199940045.87291822,52515000,52515000.0,62660898.0,83711535.75,77766522.66,92791014.83791201,123963725.446173,179913000.0,179913000.0,214672191.6,286790317.65,266423086.572,317896026.8977104,424691721.1500966,143448000,143448000.0,171162153.6,228663284.4,212424110.11200002,253464448.1856384,338614652.7240336,0.6171717693221127,101016000.0,101016000.0,120532291.2,161024554.79999998,149588937.504,178489520.2297728,238452245.82825118,36588000.0,36588000.0,277333089.6,232428000.0,370501853.4,344189609.232,410687041.73562247,548655446.5962696,113606958.4,95212000.0,151772688.6,140994118.928,168234182.70488963,224751675.2771784,101065233.2,84701000.0,135017629.05,125428967.64400001,149661844.19282082,199940045.87291822,62660898.0,52515000.0,83711535.75,77766522.66,92791014.83791201,123963725.446173,,171162153.6,228663284.4,212424110.11200002,253464448.1856384,338614652.7240336,43656801.6,58323101.4,54181120.272,64648912.7085504,86367414.7695816,0.4096408350112723,0.36441822844063537,0.2259409365480923,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA2NzUwNTA2M2FkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2012,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Net debt has been computed from statement debt and cash disclosures because it was not presented as a single line item. Net debt computed from total debt less cash and short-term deposits from the downloaded annual report."
arsenal,Arsenal,2012/13,2013-05-31,GBP,1.20565,1.306142,1.57475,1.442035,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2012 and 2013.,241227000,241227000.0,290835332.55,379872218.25,347857776.945,419394728.7737393,547789034.2441387,92780000,92780000.0,111860207.00000001,146105305.0,133792007.3,161306333.60124502,210688963.495675,86025000,86025000.0,103716041.25000001,135467868.75,124051060.875,149562161.54394376,195349408.11290625,62422000,62422000.0,75259084.30000001,98299044.5,90014708.77,108526233.62855051,141750662.6355575,178805000.0,178805000.0,215576248.25000003,281573173.75,257843068.17499998,310868495.1451888,406038371.60858124,154490000,154490000.0,186260868.50000003,243283127.5,222779987.15,268594691.50739753,350822784.7644625,0.6404341139258872,121264000.0,121264000.0,146201941.60000002,190960484.0,174866932.23999998,210828316.85515603,275371701.54494,6654000.0,6654000.0,290835332.55,241227000.0,379872218.25,347857776.945,419394728.7737393,547789034.2441387,111860207.00000001,92780000.0,146105305.0,133792007.3,161306333.60124502,210688963.495675,103716041.25000001,86025000.0,135467868.75,124051060.875,149562161.54394376,195349408.11290625,75259084.30000001,62422000.0,98299044.5,90014708.77,108526233.62855051,141750662.6355575,,186260868.50000003,243283127.5,222779987.15,268594691.50739753,350822784.7644625,8022395.100000001,10478386.5,9595300.89,11568574.5180285,15110200.076527499,0.3846169790280524,0.35661430934348143,0.25876871162846615,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzA4ODY5MjM1MGFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2013,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt computed from creditors due after more than one year and cash/short-term deposits from the downloaded annual report."
arsenal,Arsenal,2013/14,2014-05-31,GBP,1.20935,1.328027,1.60605,1.413703,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2013 and 2014.,298145000,298145000.0,360561655.75,478835777.25,421488480.935,509727094.41874224,676931574.8056567,100229000,100229000.0,121211941.14999999,160972785.45,141694037.987,171357684.83957842,227567709.70902133,120762000,120762000.0,146043524.7,193949810.1,170721601.686,206462168.99896407,274187428.3878003,77154000,77154000.0,93306189.89999999,123913181.7,109072841.262,131907240.58019967,175176436.7088351,220991000.0,220991000.0,267255465.85,354922595.55,312415639.673,377819853.8385425,501755138.09682167,166403000,166403000.0,201239468.04999998,267251538.15,235244420.309,284492839.70068914,377814301.23726946,0.5581277566284861,32577000.0,32577000.0,39396994.949999996,52320290.85,46054202.631,55695649.95179984,73965352.13551755,20593000.0,20593000.0,360561655.75,298145000.0,478835777.25,421488480.935,509727094.41874224,676931574.8056567,121211941.14999999,100229000.0,160972785.45,141694037.987,171357684.83957842,227567709.70902133,146043524.7,120762000.0,193949810.1,170721601.686,206462168.99896407,274187428.3878003,93306189.89999999,77154000.0,123913181.7,109072841.262,131907240.58019967,175176436.7088351,,201239468.04999998,267251538.15,235244420.309,284492839.70068914,377814301.23726946,24904144.549999997,33073387.65,29112385.878999997,35207063.86276864,46755947.340967946,0.33617535091985445,0.40504452531486357,0.258780123765282,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzExMDUwMTE2MGFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2014,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2014/15,2015-05-31,GBP,1.30965,1.212652,1.58815,1.4031,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2014 and 2015.,328532000,328532000.0,430261933.8,521758095.8,460963249.2,603700519.31478,732078784.21698,100401000,100401000.0,131490169.64999999,159451848.15,140872643.1,184493857.035915,223726888.139265,124844000,124844000.0,163501944.6,198270998.6,175168616.4,229409578.46826,278194038.13566,103287000,103287000.0,135269819.55,164035249.04999998,144921989.7,189797083.81060502,230157857.942055,225245000.0,225245000.0,294992114.25,357722846.75,316041259.5,413903435.504175,501920926.274925,192213000,192213000.0,251731755.45,305263075.95,269694060.3,353204826.071895,428314621.86544496,0.5850662949119112,5681000.0,5681000.0,7440121.649999999,9022280.15,7971011.1,10439234.687114999,12659161.278465,24714000.0,24714000.0,430261933.8,328532000.0,521758095.8,460963249.2,603700519.31478,732078784.21698,131490169.64999999,100401000.0,159451848.15,140872643.1,184493857.035915,223726888.139265,163501944.6,124844000.0,198270998.6,175168616.4,229409578.46826,278194038.13566,135269819.55,103287000.0,164035249.04999998,144921989.7,189797083.81060502,230157857.942055,,251731755.45,305263075.95,269694060.3,353204826.071895,428314621.86544496,32366690.099999998,39249539.1,34676213.4,45413702.87931,55071028.31121,0.30560493346158063,0.38000560067208067,0.31438946586633876,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzEzNTE5MDEzMWFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2015,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2015/16,2016-05-31,GBP,1.30075,1.10813,1.4414,1.398206,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2015 and 2016.,347393000,347393000.0,451871444.75,500732270.2,485726976.958,631809365.2781185,700126864.5872612,99907000,99907000.0,129954030.25,144005949.8,139690566.842,181702504.8197315,201349983.04605883,140579000,140579000.0,182858134.25,202630570.6,196558401.27400002,255673340.45715553,283319279.5963436,106907000,106907000.0,139059280.25,154095749.8,149478008.842,194433520.00123152,215457601.94485882,240486000.0,240486000.0,312812164.5,346636520.4,336248968.116,437375845.276887,484669262.6424024,195387000,195387000.0,254149640.25,281630821.8,273191275.722,355353551.8953915,393777904.8256908,0.562437930528249,6142000.0,6142000.0,7989206.5,8853078.8,8587781.252,11170556.463539,12378427.896632802,18192000.0,18192000.0,451871444.75,347393000.0,500732270.2,485726976.958,631809365.2781185,700126864.5872612,129954030.25,99907000.0,144005949.8,139690566.842,181702504.8197315,201349983.04605883,182858134.25,140579000.0,202630570.6,196558401.27400002,255673340.45715553,283319279.5963436,139059280.25,106907000.0,154095749.8,149478008.842,194433520.00123152,215457601.94485882,,254149640.25,281630821.8,273191275.722,355353551.8953915,393777904.8256908,23663244.0,26221948.8,25436163.552,33086089.740264002,36663686.1438528,0.28759071138451264,0.4046684878509354,0.30774080076455196,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2016,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax verified from the tax note and standard-rate reconciliation."
arsenal,Arsenal,2016/17,2017-05-31,GBP,1.1823,1.117737,1.3215,1.374914,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2016 and 2017.,415867000,415867000.0,491679554.09999996,549568240.5,571781360.438,676017102.4458474,755609067.818817,99996000,99996000.0,118225270.8,132144713.99999999,137485900.344,162549579.97671118,181687617.30459598,198637000,198637000.0,234848525.1,262498795.49999997,273108792.218,322896525.0393414,360913268.916087,117234000,117234000.0,138605758.2,154924731.0,161186667.876,190570997.4297948,213008181.59813398,298633000.0,298633000.0,353073795.9,394643509.49999994,410594692.562,485446105.01605254,542600886.2206829,199395000,199395000.0,235744708.49999997,263500492.49999997,274150977.03,324128700.14256895,362290516.14514494,0.4794681953605359,47352000.0,47352000.0,55984269.599999994,62575667.99999999,65104927.728,76973556.0528144,86036161.99255198,44607000.0,44607000.0,491679554.09999996,415867000.0,549568240.5,571781360.438,676017102.4458474,755609067.818817,118225270.8,99996000.0,132144713.99999999,137485900.344,162549579.97671118,181687617.30459598,234848525.1,198637000.0,262498795.49999997,273108792.218,322896525.0393414,360913268.916087,138605758.2,117234000.0,154924731.0,161186667.876,190570997.4297948,213008181.59813398,,235744708.49999997,263500492.49999997,274150977.03,324128700.14256895,362290516.14514494,52738856.099999994,58948150.49999999,61330788.798,72511391.5958754,81048637.39655699,0.2404518752389586,0.47764549723829974,0.28190262752274164,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2017,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur. Net debt taken from the analysis of changes in net debt note. Profit before tax taken from the segmental analysis / group disclosure."
arsenal,Arsenal,2017/18,2018-05-31,GBP,1.1359,1.154943,1.3119,1.340755,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2017 and 2018.,385920000,385920000.0,438366527.99999994,506288448.0,517424169.59999996,587742114.24864,678808768.09824,98905000,98905000.0,112346189.49999999,129753469.5,132607373.27499999,150628715.30307248,173967612.9994725,180097000,180097000.0,204572182.29999998,236269254.3,241465953.23499998,274281176.27963644,316779184.0489965,106918000,106918000.0,121448156.19999999,140265724.20000002,143350843.09,162832222.665931,188061971.049771,279002000.0,279002000.0,316918371.79999995,366022723.8,374073326.51,424909891.5827089,490746797.048469,240060000,240060000.0,272684154.0,314934714.0,321861645.29999995,365602642.89627,422250292.46906996,0.6220460199004975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018000.0,2018000.0,438366527.99999994,385920000.0,506288448.0,517424169.59999996,587742114.24864,678808768.09824,112346189.49999999,98905000.0,129753469.5,132607373.27499999,150628715.30307248,173967612.9994725,204572182.29999998,180097000.0,236269254.3,241465953.23499998,274281176.27963644,316779184.0489965,121448156.19999999,106918000.0,140265724.20000002,143350843.09,162832222.665931,188061971.049771,,272684154.0,314934714.0,321861645.29999995,365602642.89627,422250292.46906996,2292246.1999999997,2647414.2,2705643.59,3073340.5538809993,3549533.825721,0.2562836857379768,0.46666925787728025,0.277047056384743,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2018,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_eur, profit_loss_before_tax_eur."
arsenal,Arsenal,2018/19,2019-05-31,GBP,1.1355,1.149978,1.3058,1.313149,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2018 and 2019.,390148000,390148000.0,443013054.0,509455258.40000004,512322456.052,581742148.8470459,668990663.1127017,96244000,96244000.0,109285062.0,125675415.2,126382712.35599999,143507569.880238,165030545.7944648,183025000,183025000.0,207824887.5,238994045.0,240339095.725,272905043.1957375,313834791.197705,110879000,110879000.0,125903104.5,144785798.20000002,145600647.971,165329535.77107048,190125326.1205318,279269000.0,279269000.0,317109949.5,364669460.20000005,366721808.081,416412613.0759755,478865336.9921698,234922000,234922000.0,266753931.0,306761147.6,308487589.37799996,350287657.738719,402823094.2097924,0.6021355998236566,21715000.0,21715000.0,24657382.5,28355447.0,28515030.534999996,32378817.172492497,37234926.872603,-32215000.0,-32215000.0,443013054.0,390148000.0,509455258.40000004,512322456.052,581742148.8470459,668990663.1127017,109285062.0,96244000.0,125675415.2,126382712.35599999,143507569.880238,165030545.7944648,207824887.5,183025000.0,238994045.0,240339095.725,272905043.1957375,313834791.197705,125903104.5,110879000.0,144785798.20000002,145600647.971,165329535.77107048,190125326.1205318,,266753931.0,306761147.6,308487589.37799996,350287657.738719,402823094.2097924,-36580132.5,-42066347.0,-42303095.035,-48035164.412242495,-55239381.496703,0.24668587305330286,0.4691168479653875,0.28419727898130964,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzI1ODcyNTM1MWFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2019,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
arsenal,Arsenal,2019/20,2020-05-31,GBP,1.13275,1.130126,1.28015,1.296166,2025/26 prices,True,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2019 and 2020.,339968000,339968000.0,385098752.0,435210035.2,440654962.68799996,499151908.984832,564104450.4850432,78743000,78743000.0,89196133.25,100802851.44999999,102063999.338,115612995.25011949,130657228.75254068,118948000,118948000.0,134738347.0,152271282.2,154176353.368,174643264.277602,197368858.76404518,142277000,142277000.0,161164271.75,182135901.54999998,184414609.982,208895649.4571105,236078362.96845725,197691000.0,197691000.0,223934480.24999997,253074133.64999998,256240352.706,290256259.52772146,328026087.5165858,234478000,234478000.0,265604954.49999997,300167011.7,303922411.348,344268111.454447,389066274.8871422,0.6897060899849398,-94109000.0,-94109000.0,-106601969.75,-120473636.35,-121980886.094,-138173848.7229785,-156153831.33323407,-54022000.0,-54022000.0,385098752.0,339968000.0,435210035.2,440654962.68799996,499151908.984832,564104450.4850432,89196133.25,78743000.0,100802851.44999999,102063999.338,115612995.25011949,130657228.75254068,134738347.0,118948000.0,152271282.2,154176353.368,174643264.277602,197368858.76404518,161164271.75,142277000.0,182135901.54999998,184414609.982,208895649.4571105,236078362.96845725,,265604954.49999997,300167011.7,303922411.348,344268111.454447,389066274.8871422,-61193420.49999999,-69156263.3,-70021479.652,-79316831.07580298,-89637997.17650779,0.23161885824548192,0.3498799887048193,0.4185011530496988,high,True,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzI5NDA2NjY3MWFkaXF6a2N4/document?format=pdf&download=0,Group of companies' accounts made up to 31 May 2020,"Values in the annual report were disclosed in GBP thousands and have been converted here into full GBP amounts by multiplying by 1,000. Missing fields in raw extraction: net_debt_original, profit_loss_before_tax_original, net_debt_eur, profit_loss_before_tax_eur. Net debt computed as total debt less cash and short-term deposits from the downloaded annual report. Profit before tax verified from the tax note."
